Metabolite	Concentration	Type	Unit	Comment
M_gam	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_gbbtn	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_gensa	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_glcn	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_glcur	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_gln__L	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_glu__L	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_glx	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_gly	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_glyald	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_glyb	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_glyc	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_glyc3p	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_glycolate	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_glyn	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_gsn	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_gua	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_HC00229	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_his__L	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_hxan	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_icit	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_idon__L	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_ile__L	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_indole	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_ins	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_kn	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_knt	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_lac__D	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_lac__L	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_lactose	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_leu__L	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_lys__L	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_M02451	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_mal__L	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_malth	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_maltpt	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_man	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_man6p	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_mclact	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_meli	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_met__D	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_met__L	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_mlt	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_mlttr	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_mnl	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_nac	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_nmn	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_no2	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_no3	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_octadecacid	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_orn	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_pac	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_phb	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_phe__L	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_phenol	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_pnto__R	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_ppa	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_pppn	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_pro__L	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_ptrc	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_pyr	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_rib__D	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_rmn	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_sbt__D	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_ser__D	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_ser__L	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_succ	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_tartr	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_taur	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_tetdecacid	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_thm	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_thr__L	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_thymd	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_tol	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_tre	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_trp__L	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_tsul	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_tyr__L	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_ura	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_urea	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_uri	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_urocan	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_val__L	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_xan	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_xtsn	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
Temperature	20.0	Chemical species	mmol/L	Boundary metabolite from SBML
