b1093	4.7450853451710766e-05
b1095	5.204876502678197e-05
b0159	1.8681719669207489e-06
b2215	0.0001565484253428739
b2708	4.702794031919391e-07
b2836	4.115664460924349e-06
b1094	4.958374852914095e-05
b3845	1.0610044664841236e-05
b3255	9.383293877156329e-06
b0185	9.383293877156329e-06
b2316	9.383293877156329e-06
b3256	4.691646938578164e-06
b4069	5.129645015469167e-07
b3959	9.944894454421223e-06
b2818	5.181739717287814e-07
b3670	4.6884780698384805e-06
b3671	9.376956139676961e-06
b1849	8.909799737254797e-06
b0221	2.036749645483957e-06
b3957	3.3377872953680432e-06
b0118	1.0123490738032528e-05
b1748	3.1176022593432007e-06
b1096	5.664128050846598e-08
b3360	1.4964012973380598e-07
b1812	1.4964012973380598e-07
b0474	6.113409037023983e-05
b0120	6.476261936938393e-07
b0469	1.6377917042571583e-07
b2750	1.1633747245486425e-06
b1131	4.708223931714241e-06
b4177	1.0070371969247389e-05
b3018	1.6078245438726265e-06
b3958	2.6733419922833094e-06
b4006	6.154782560584488e-06
b0522	2.1981899872577283e-07
b0523	3.4957999356778584e-06
b0092	2.202531593371523e-06
b1190	1.6014310612298375e-07
b2290	2.100615590789546e-10
b2697	1.1902467561645673e-05
b0774	4.7027940319369616e-07
b3994	4.829627730750292e-10
b1263	3.523923042196387e-06
b1264	1.7890429761092143e-06
b0776	2.435979642439197e-07
b0414	1.6505963407307977e-07
b3960	4.255340109052438e-06
b3172	1.2287792718615023e-05
b1876	1.5199365469372524e-06
b3433	2.2781901443200925e-05
b3744	2.3652281325463077e-06
b0930	2.24790459908073e-06
b0131	1.1718218042757756e-06
b4245	2.052562389485137e-05
b4024	1.1156827760308134e-05
b2574	2.0007612910379538e-07
b0928	4.0229012987064546e-05
b1866	3.392370564961529e-06
b2019	7.58046175520244e-06
b3738	1.2936337202097358e-05
b3736	2.5872674404194716e-05
b3737	0.00012936337202097358
b3735	1.2936337202097358e-05
b3733	1.2936337202097358e-05
b3731	1.2936337202097358e-05
b3732	3.880901160629207e-05
b3734	3.880901160629207e-05
b4214	1.1818878418741008e-06
b0775	1.2382896515756738e-06
b0323	2.551672023737632e-06
b1208	2.073987553105717e-07
b2600	7.276933600528313e-06
b2329	1.3093092480132607e-06
b4039	3.873215473513099e-08
average_protein	6.009031938931545e-05
b3040	2.2769826635387423e-09
b2436	5.8349739606712345e-08
b0720	5.9763324946591214e-06
b3846	5.853117751964334e-07
b2780	1.389737472652247e-06
b2414	0.0001043982347245975
b1622	1.77533240084803e-06
b0526	2.873543812965313e-07
b0431	1.6276479051730865e-05
b0429	3.255295810346173e-05
b0430	3.255295810346173e-05
b0432	3.255295810346173e-05
b0910	5.18221295995495e-06
b2838	9.611923964048557e-07
b3809	5.351168852309199e-07
b0175	1.6078245438726265e-06
b3041	2.594174721207483e-09
b0778	1.4886542259325487e-06
b2143	5.282339919356882e-07
b1704	4.934520756136162e-06
b3771	4.012502702204662e-06
b2415	7.110073281053093e-06
b1199	8.74826694110127e-06
b1200	8.74826694110127e-06
b1198	8.74826694110127e-06
b2416	1.4220146562106185e-05
b0031	4.555884641664597e-06
b2478	5.3053439256694515e-06
b0048	9.785581572923752e-07
b2315	7.363366466090559e-07
b3058	3.700721106821942e-08
b0945	1.0593199994152803e-06
b1062	4.201800823316205e-06
b3177	4.5110734119236617e-07
b3389	5.004252138411231e-07
b1693	1.4454905357113605e-06
b0421	2.360284422504801e-08
b0029	1.8211032419618782e-08
b2232	7.668510426068602e-10
b1865	2.6297737378928074e-08
b0103	1.25111801659473e-07
b0425	1.473059304187868e-05
b1098	6.024124776578999e-07
b1238	1.0564679838713764e-06
b0173	8.028338915229584e-08
b0420	4.042322279915046e-07
b1779	0.00031483096489048814
b2341	9.3311553525694e-06
b1288	3.392778313107412e-05
b2779	6.489249129883513e-05
b0825	5.825953561111808e-07
b0452	2.425829727262761e-06
b3844	2.175197736410601e-06
b2925	2.6805559291288245e-05
b0475	9.557284935605042e-09
b0684	4.17091722481813e-06
b3924	9.403279140073884e-07
b3288	8.703757766426457e-08
b0025	1.9863386736964663e-07
b4122	7.479353487941251e-07
b3730	2.7675435382150146e-06
b0154	8.030852916120574e-07
b4041	1.6078245438726265e-06
b3608	1.1063407542753197e-06
b0243	1.4417005157444456e-06
b1852	5.352740205558112e-07
b2500	4.4433103764438927e-07
b1415	7.08218296644654e-06
b3729	1.361780286225587e-05
b2551	1.3099413961537447e-05
b3648	3.943769711538227e-07
b2417	2.735939810502458e-06
b1621	2.735939810502458e-06
b3870	2.153826449526038e-05
b0680	1.1073330276874486e-06
b0242	1.038513083377484e-06
b2688	3.931417936834302e-11
b1761	8.805008163636086e-06
b2312	7.463599782675473e-07
b3967	2.2668143894907346e-07
b1210	1.6564151769260157e-09
b2400	0.00040712403685547036
b3603	5.782376729409284e-10
b3559	4.80054961993698e-06
b3560	4.80054961993698e-06
b2507	2.7546637561967898e-06
b2029	6.379554118102638e-06
b2947	1.572567174733721e-10
b2153	2.8676671160282672e-05
b1277	1.3230295411527976e-07
b3875	2.8355766174834194e-05
b4040	1.9171276065171505e-10
b0339	4.766073861941689e-06
b0428	1.917127606701692e-10
b2020	6.4918886137057e-06
b2022	1.052412926410545e-05
b2514	1.2423197326422451e-06
b3805	6.183949993862985e-08
b0142	4.3290121531518374e-07
b3940	1.0570135248519294e-05
b0003	1.0487316112610933e-06
b4013	4.533696769008054e-06
b2021	4.149008011594407e-06
b1136	2.0806857108368766e-05
b2530	1.2729725498102025e-06
b2023	2.3976055913249153e-06
b2025	2.3976055913249153e-06
b1262	2.7216459963476294e-06
b3770	4.540482642236213e-06
b0026	1.7602195057473554e-06
b2508	7.998490084889851e-06
b2889	1.6172058496504985e-08
b0073	7.71790445294858e-06
b0071	1.265286841027425e-05
b0072	1.265286841027425e-05
b0074	4.560426977308e-06
b3774	0.00011156698505927038
b0918	1.8472845621904604e-06
b3198	6.868109269633083e-07
b1215	8.948841880904111e-06
b3747	1.1915079626515261e-06
b4054	4.440430497154454e-06
b0642	2.6384572814342668e-06
b0182	1.0488245682727801e-07
b2890	3.163377531819617e-06
b0777	2.0299830353652063e-08
b1092	3.3488814157720864e-05
b0635	1.6068068455682506e-07
b2463	9.150074194899082e-07
b2515	3.230589310810741e-06
b2746	1.6569599483406046e-06
b2747	7.470815379481265e-08
b2942	0.000333545457267469
b3829	8.75580569191543e-05
b2114	1.8172763358404906e-06
b3633	4.5000768658954776e-07
b0134	4.544554034907815e-06
b1069	2.0085085569603132e-08
b2519	2.0085085569603132e-08
b0529	9.867964509130709e-07
b3941	7.382791646779871e-06
b2287	1.61190305715709e-05
