Enzyme	Concentration
R_3HPPtpp_enzyme	0
R_3KGK_enzyme	0.0
R_3NTD2pp_enzyme	0.0
R_3NTD4pp_enzyme	0.0
R_3NTD7pp_enzyme	0.0
R_3NTD9pp_enzyme	0.0
R_3OAR100_enzyme	0.0
R_3OAR120_enzyme	0.0
R_3OAR121_enzyme	0.0
R_3OAR140_enzyme	3.9542377876415836e-06
R_3OAR141_enzyme	0.0
R_3OAR160_enzyme	0.0
R_3OAR161_enzyme	0.0
R_3OAR180_enzyme	0.0
R_3OAR181_enzyme	0.0
R_3OAR40_enzyme	0.0
R_3OAR60_enzyme	0.0
R_3OAR80_enzyme	0.0
R_3OAS100_enzyme	0.0
R_3OAS100_duplicate_2_enzyme	0.0
R_3OAS120_enzyme	0.0
R_3OAS120_duplicate_2_enzyme	0.0
R_3OAS121_enzyme	0.0
R_3OAS140_enzyme	0.0
R_3OAS140_duplicate_2_enzyme	2.6024382513390984e-05
R_3OAS141_enzyme	0.0
R_3OAS160_enzyme	0.0
R_3OAS160_duplicate_2_enzyme	0.0
R_3OAS161_enzyme	0.0
R_3OAS180_enzyme	0.0
R_3OAS180_duplicate_2_enzyme	0.0
R_3OAS181_enzyme	0.0
R_3OAS60_enzyme	0.0
R_3OAS60_duplicate_2_enzyme	0.0
R_3OAS80_enzyme	0.0
R_3OAS80_duplicate_2_enzyme	0.0
R_3OXCOAT_enzyme	0.0
R_3PEPTabcpp_enzyme	0.0
R_3PEPTtex_enzyme	0.0
R_3PEPTtex_duplicate_2_enzyme	0.0
R_3PEPTtex_duplicate_3_enzyme	0.0
R_3PEPTtex_duplicate_4_enzyme	0.0
R_3UMPtex_enzyme	0.0
R_3UMPtex_duplicate_2_enzyme	0.0
R_3UMPtex_duplicate_3_enzyme	0.0
R_3UMPtex_duplicate_4_enzyme	0.0
R_42A12BOOXpp_enzyme	0.0
R_4HOXPACDtex_enzyme	0.0
R_4HOXPACDtex_duplicate_2_enzyme	0.0
R_4HOXPACDtex_duplicate_3_enzyme	0.0
R_4HOXPACDtex_duplicate_4_enzyme	0.0
R_4HTHRS_enzyme	0.0
R_4PCP_enzyme	0.0
R_4PCPpp_enzyme	0
R_4PEPTabcpp_enzyme	0.0
R_4PEPTtex_enzyme	0.0
R_4PEPTtex_duplicate_2_enzyme	0.0
R_4PEPTtex_duplicate_3_enzyme	0.0
R_4PEPTtex_duplicate_4_enzyme	0.0
R_5DGLCNR_enzyme	0.0
R_5DGLCNt2rpp_enzyme	0.0
R_5DGLCNtex_enzyme	0.0
R_5DGLCNtex_duplicate_2_enzyme	0.0
R_5DGLCNtex_duplicate_3_enzyme	0.0
R_5DGLCNtex_duplicate_4_enzyme	0.0
R_5DOAN_enzyme	3.750217692464299e-07
R_5MTRtex_enzyme	1.0119159276466239e-08
R_5MTRtex_duplicate_2_enzyme	0.0
R_5MTRtex_duplicate_3_enzyme	0.0
R_5MTRtex_duplicate_4_enzyme	0.0
R_5MTRtpp_enzyme	0
R_A5PISO_enzyme	0.0
R_A5PISO_duplicate_2_enzyme	1.1756985079798477e-07
R_AACPS1_enzyme	0.0
R_AACPS2_enzyme	0.0
R_AACPS3_enzyme	1.4759863544420949e-06
R_AACPS4_enzyme	1.7396627333031582e-06
R_AACPS5_enzyme	0.0
R_AACPS6_enzyme	0.0
R_AACPS7_enzyme	9.000153731790955e-07
R_AACPS8_enzyme	0.0
