Enzyme	Concentration
R_EX_glc__D_e_enzyme	0
R_EX_glcn_e_enzyme	0
R_EX_glcr_e_enzyme	0
R_EX_glcur_e_enzyme	0
R_EX_glcur1p_e_enzyme	0
R_EX_gln__L_e_enzyme	0
R_EX_glu__L_e_enzyme	0
R_EX_gly_e_enzyme	0
R_EX_glyald_e_enzyme	0
R_EX_glyb_e_enzyme	0
R_EX_glyc_e_enzyme	0
R_EX_glyc__R_e_enzyme	0
R_EX_glyc2p_e_enzyme	0
R_EX_glyc3p_e_enzyme	0
R_EX_glyclt_e_enzyme	0
R_EX_gmp_e_enzyme	0
R_EX_gsn_e_enzyme	0
R_EX_gthox_e_enzyme	0
R_EX_gthrd_e_enzyme	0
R_EX_gtp_e_enzyme	0
R_EX_gua_e_enzyme	0
R_EX_h_e_enzyme	0
R_EX_h2_e_enzyme	0
R_EX_h2o_e_enzyme	0
R_EX_h2o2_e_enzyme	0
R_EX_h2s_e_enzyme	0
R_EX_hacolipa_e_enzyme	0
R_EX_halipa_e_enzyme	0
R_EX_hdca_e_enzyme	0
R_EX_hdcea_e_enzyme	0
R_EX_hg2_e_enzyme	0
R_EX_his__L_e_enzyme	0
R_EX_hom__L_e_enzyme	0
R_EX_hxa_e_enzyme	0
R_EX_hxan_e_enzyme	0
R_EX_idon__L_e_enzyme	0
R_EX_ile__L_e_enzyme	0
R_EX_imp_e_enzyme	0
R_EX_indole_e_enzyme	0
R_EX_inost_e_enzyme	0
R_EX_ins_e_enzyme	0
R_EX_isetac_e_enzyme	0
R_EX_k_e_enzyme	0
R_EX_kdo2lipid4_e_enzyme	0
R_EX_lac__D_e_enzyme	0
R_EX_lac__L_e_enzyme	0
R_EX_lcts_e_enzyme	0
R_EX_leu__L_e_enzyme	0
R_EX_lipa_e_enzyme	0
R_EX_lipa_cold_e_enzyme	0
R_EX_lipoate_e_enzyme	0
R_EX_lys__L_e_enzyme	0
R_EX_lyx__L_e_enzyme	0
R_EX_mal__D_e_enzyme	0
R_EX_mal__L_e_enzyme	0
R_EX_malt_e_enzyme	0
R_EX_malthx_e_enzyme	0
R_EX_maltpt_e_enzyme	0
R_EX_malttr_e_enzyme	0
R_EX_maltttr_e_enzyme	0
R_EX_man_e_enzyme	0
R_EX_man6p_e_enzyme	0
R_EX_manglyc_e_enzyme	0
R_EX_melib_e_enzyme	0
R_EX_meoh_e_enzyme	0
R_EX_met__D_e_enzyme	0
R_EX_met__L_e_enzyme	0
R_EX_metsox_R__L_e_enzyme	0
R_EX_metsox_S__L_e_enzyme	0
R_EX_mg2_e_enzyme	0
R_EX_mincyc_e_enzyme	0
R_EX_minohp_e_enzyme	0
R_EX_mmet_e_enzyme	0
R_EX_mn2_e_enzyme	0
R_EX_mnl_e_enzyme	0
R_EX_mobd_e_enzyme	0
R_EX_mso3_e_enzyme	0
R_EX_n2o_e_enzyme	0
R_EX_na1_e_enzyme	0
R_EX_nac_e_enzyme	0
R_EX_nh4_e_enzyme	0
R_EX_ni2_e_enzyme	0
R_EX_nmn_e_enzyme	0
R_EX_no_e_enzyme	0
R_EX_no2_e_enzyme	0
R_EX_no3_e_enzyme	0
R_EX_novbcn_e_enzyme	0
R_EX_o16a4colipa_e_enzyme	0
R_EX_o2_e_enzyme	0
R_EX_o2s_e_enzyme	0
R_EX_ocdca_e_enzyme	0
R_EX_ocdcea_e_enzyme	0
R_EX_octa_e_enzyme	0
R_EX_orn_e_enzyme	0
R_EX_orot_e_enzyme	0
R_EX_pacald_e_enzyme	0
R_EX_peamn_e_enzyme	0
R_EX_phe__L_e_enzyme	0
R_EX_pheme_e_enzyme	0
R_EX_pi_e_enzyme	0
R_EX_pnto__R_e_enzyme	0
R_EX_ppa_e_enzyme	0
R_EX_ppal_e_enzyme	0
R_EX_pppn_e_enzyme	0
R_EX_ppt_e_enzyme	0
R_EX_pro__L_e_enzyme	0
R_EX_progly_e_enzyme	0
R_EX_psclys_e_enzyme	0
R_EX_pser__L_e_enzyme	0
R_EX_ptrc_e_enzyme	0
R_EX_pydam_e_enzyme	0
R_EX_pydx_e_enzyme	0
R_EX_pydxn_e_enzyme	0
R_EX_pyr_e_enzyme	0
R_EX_quin_e_enzyme	0
R_EX_r5p_e_enzyme	0
R_EX_rfamp_e_enzyme	0
R_EX_rib__D_e_enzyme	0
R_EX_rmn_e_enzyme	0
R_EX_sbt__D_e_enzyme	0
R_EX_sel_e_enzyme	0
R_EX_ser__D_e_enzyme	0
R_EX_ser__L_e_enzyme	0
R_EX_skm_e_enzyme	0
R_EX_slnt_e_enzyme	0
R_EX_so2_e_enzyme	0
R_EX_so3_e_enzyme	0
R_EX_so4_e_enzyme	0
R_EX_spmd_e_enzyme	0
R_EX_succ_e_enzyme	0
R_EX_sucr_e_enzyme	0
R_EX_sulfac_e_enzyme	0
R_EX_tartr__D_e_enzyme	0
R_EX_tartr__L_e_enzyme	0
R_EX_taur_e_enzyme	0
R_EX_tcynt_e_enzyme	0
R_EX_thm_e_enzyme	0
R_EX_thr__L_e_enzyme	0
R_EX_thrp_e_enzyme	0
R_EX_thym_e_enzyme	0
R_EX_thymd_e_enzyme	0
R_EX_tma_e_enzyme	0
R_EX_tmao_e_enzyme	0
R_EX_tre_e_enzyme	0
R_EX_trp__L_e_enzyme	0
R_EX_tsul_e_enzyme	0
R_EX_ttdca_e_enzyme	0
R_EX_ttdcea_e_enzyme	0
R_EX_ttrcyc_e_enzyme	0
R_EX_tungs_e_enzyme	0
R_EX_tym_e_enzyme	0
R_EX_tyr__L_e_enzyme	0
R_EX_tyrp_e_enzyme	0
R_EX_uacgam_e_enzyme	0
R_EX_udpacgal_e_enzyme	0
R_EX_udpg_e_enzyme	0
R_EX_udpgal_e_enzyme	0
R_EX_udpglcur_e_enzyme	0
R_EX_ump_e_enzyme	0
R_EX_ura_e_enzyme	0
R_EX_urea_e_enzyme	0
R_EX_uri_e_enzyme	0
R_EX_val__L_e_enzyme	0
R_EX_xan_e_enzyme	0
R_EX_xmp_e_enzyme	0
R_EX_xtsn_e_enzyme	0
R_EX_xyl__D_e_enzyme	0
R_EX_xylu__L_e_enzyme	0
R_EX_zn2_e_enzyme	0
R_12DGR120tipp_enzyme	0
R_12DGR140tipp_enzyme	0
R_12DGR141tipp_enzyme	0
R_12DGR160tipp_enzyme	0
R_12DGR161tipp_enzyme	0
R_12DGR180tipp_enzyme	0
R_12DGR181tipp_enzyme	0
R_12PPDRtex_enzyme	0.0
R_12PPDRtex_duplicate_2_enzyme	0.0
R_12PPDRtex_duplicate_3_enzyme	0.0
R_12PPDRtex_duplicate_4_enzyme	0.0
R_12PPDRtpp_enzyme	0
R_12PPDStex_enzyme	0.0
R_12PPDStex_duplicate_2_enzyme	0.0
R_12PPDStex_duplicate_3_enzyme	0.0
R_12PPDStex_duplicate_4_enzyme	0.0
R_12PPDStpp_enzyme	0
R_14GLUCANabcpp_enzyme	0.0
R_14GLUCANtexi_enzyme	0.0
R_23CAMPtex_enzyme	0.0
