b1093	4.141685085720486e-06
b2323	2.070789326985677e-06
b0159	1.947945298888315e-07
b0241	0.0003436931567492727
b2708	2.0707361111111114e-06
b2836	4.734616360134549e-06
b1094	8.137345811631946e-06
b2224	4.734616360134549e-06
b3845	5.267392409939236e-05
b3255	2.070895758734809e-06
b0185	2.070895758734809e-06
b2316	2.070895758734809e-06
b3256	1.0354478793674046e-06
b4069	5.701353020126462e-06
b3959	6.526497528504565e-06
b2818	1.9579492585513696e-05
b3670	1.368701900094722e-05
b3671	2.737403800189444e-05
b0221	2.9070289015028213e-05
b3957	6.526497528504565e-06
b0118	2.4448299499108203e-05
b1748	3.2632487642522826e-06
b1090	3.6992483045789936e-06
b1096	1.0643174913194572e-08
b3360	5.321587456597286e-09
b1812	5.321587456597286e-09
b0474	0.00021599472381212377
b0120	7.45022243923611e-07
b2750	2.4304396726261255e-06
b1131	2.4332906114012842e-05
b4177	5.871493312686836e-06
b3018	1.8496241522894968e-06
b3958	3.2632487642522826e-06
b4006	8.821319535077985e-06
b0522	6.294959744319585e-06
b0523	2.517983897727834e-05
b0092	3.6969068060980904e-07
b1190	7.393813612196181e-07
b2290	2.411268079895913e-05
b2697	2.5034463556549508e-05
b0774	5.321587456597222e-11
b3994	4.671634581779454e-09
b1263	2.573193860045504e-06
b1264	1.286596930022752e-06
b0776	5.321587456597222e-11
b3059	1.8496241522894968e-06
b0414	5.4923665537357005e-09
b3960	3.170120983761831e-06
b3172	1.2680483935047324e-05
b1876	3.170120983761831e-06
b3433	2.5138982379443532e-05
b3744	4.727726329668978e-06
b0930	4.727726329668978e-06
b0131	3.192952473961934e-08
b4245	1.376388807275607e-05
b4024	2.5138982379443532e-05
b2574	2.3021852684985466e-07
b0928	6.787964149370624e-05
b1866	6.747952465999024e-06
b2019	2.5263597907584e-06
b3738	3.1697974278611494e-05
b3736	6.339594855722299e-05
b3737	0.00031697974278611495
b3735	3.1697974278611494e-05
b3733	3.1697974278611494e-05
b3731	3.1697974278611494e-05
b3732	9.509392283583447e-05
b3734	9.509392283583447e-05
b4214	2.4304396726261255e-06
b0775	5.321587456597222e-11
b2874	5.464102329221177e-06
b1208	2.799082123800904e-08
b2600	1.0992942665442073e-05
b2329	1.800044891351767e-05
b4039	5.405917809971342e-10
average_protein	0.00011896124136764815
b3040	4.071672867548632e-09
b2436	2.1623671238989674e-09
b0720	7.33448984973246e-05
b3846	4.002578789605035e-06
b2780	4.7493593747982794e-06
b2421	4.860879345252251e-06
b1622	3.694346412124786e-06
b0526	5.546477235888371e-07
b0431	4.06338736614816e-05
b0429	8.12677473229632e-05
b0430	8.12677473229632e-05
b0432	8.12677473229632e-05
b0910	7.075748319261948e-06
b2838	3.4844891334542597e-06
b3809	7.708359628128138e-06
b0175	1.8496241522894968e-06
b3041	5.4923665537357005e-09
b0778	5.321587456597222e-11
b1704	4.500112228379418e-06
b3771	2.737403800189444e-05
b0031	1.5416719256256275e-05
b2478	1.5416719256256275e-05
b0048	3.091589536878798e-07
b2315	5.321587456597286e-09
b3058	4.257269965277829e-08
b0945	2.293981345459345e-06
b1062	4.58796269091869e-06
b3177	1.0643174913194572e-08
b3389	4.500112228379418e-06
b1693	9.000224456758835e-06
b0421	3.625803674508028e-09
b0029	2.7990821238009196e-08
b2232	2.162367123988537e-09
b0099	5.321587456597286e-09
b0103	3.991190592452417e-09
b0425	3.991190592452417e-09
b1098	6.076747324625651e-07
b2251	3.0383736623128253e-07
b0173	2.799082123800904e-08
b0420	3.906907421479392e-08
b1779	0.0008487669019365334
b2341	0.0001242863136393229
b1850	9.227515504787545e-05
b1851	3.0758385015958486e-05
b1288	2.1286349826388888e-10
b2779	0.0003929925965789921
b0452	1.8938465440538196e-05
b3844	2.908677782253478e-05
b1773	7.404895393910058e-05
b0475	1.0811835619494837e-09
b3288	1.935150944360432e-07
b0025	1.802903349338358e-09
b2492	7.3621879089941644e-06
b4122	1.8506695024530088e-05
b3730	7.542392333984375e-06
b0154	1.936860223460665e-08
b3608	1.8496241522894968e-06
b0243	4.7040286833458064e-06
b1852	0.00015232826158529671
b2500	3.149815689450682e-06
b1415	2.1286349826389145e-08
b3729	2.514130777994792e-06
b2551	1.6610453177497104e-05
b3648	4.479958520416322e-06
b2415	5.594149871556637e-06
b2417	5.594149871556637e-06
b1621	5.594149871556637e-06
b2416	1.1188299743113273e-05
b3870	0.00017258500148499136
b0680	2.251333786441533e-06
b0242	9.408057366691613e-06
b2688	8.682831845800666e-11
b1761	0.0005475972467396078
b2312	1.2599262757802728e-05
b3967	3.6969068060980904e-07
b1210	1.936860223460665e-08
b2400	3.9824537608024294e-06
b4467	5.321587456597286e-09
b2979	5.321587456597286e-09
b4468	5.321587456597286e-09
b3559	1.0310648141958824e-05
b3560	1.0310648141958824e-05
b2507	2.9498262223911485e-06
b2029	0.00024313975313867644
b2947	3.4731327383202663e-10
b2153	5.321587456597286e-08
b1277	2.7461832768678503e-09
b3875	5.8989409646648506e-05
b4040	5.405917809971342e-10
b0339	8.365855503054395e-06
b0428	5.405917809747418e-10
b2020	2.5263597907584e-06
b2022	2.5263597907584e-06
b2514	2.5263597907584e-06
b3805	1.2105376396629157e-09
b0142	5.321587456597286e-09
b3940	3.486124550263079e-05
b0003	6.8681381695953034e-06
b4013	3.694346412124786e-06
b2021	2.5263597907584e-06
b2530	7.598459742012785e-08
b2529	4.446302942075661e-08
b3807	1.1089149417906165e-08
b2528	1.1911153348817927e-08
b1136	2.4448299499108203e-05
b4267	8.998604889191487e-05
b2023	1.2631798953792e-06
b2025	1.2631798953792e-06
b1262	1.286596930022752e-06
b3770	2.1619399830826455e-05
b0026	3.6032333051377425e-06
b2508	5.899652444782297e-06
b0073	1.0733255841155126e-05
b0071	1.0733255841155126e-05
b0072	1.0733255841155126e-05
b0074	2.1466511682310252e-05
b3774	5.474807600378888e-05
b0918	5.176840277777778e-07
b3198	2.0707361111111114e-06
b1215	1.5530520833333337e-06
b3747	1.3700354664720882e-06
b4054	1.0733255841155126e-05
b0642	5.366627920577563e-06
b0182	2.588420138888889e-07
b2890	6.968978266908519e-06
b0777	2.660793728298611e-11
b4014	5.321587456597286e-09
b1092	1.0354212714301217e-06
b0635	1.8484534030490452e-07
b3236	1.8517338199443283e-05
b2895	2.1752513599749883e-06
b2515	1.399541061900452e-08
b2746	4.198623185701356e-08
b2747	2.799082123800904e-08
b2942	3.896954915267949e-07
b3829	1.8490802652881846e-06
b2114	3.895067824141407e-06
b3633	5.176840277777778e-07
b0134	3.991190592452417e-08
b1069	2.3105667538113065e-08
b2519	2.3105667538113065e-08
b0529	2.4593271066546528e-05
b3941	7.3963210611527385e-06
b2287	2.8893158465727783e-05
b2285	2.8893158465727783e-05
b2283	2.8893158465727783e-05
b2281	2.8893158465727783e-05
b2279	2.8893158465727783e-05
b2277	2.8893158465727783e-05
b2276	2.8893158465727783e-05
b2278	2.8893158465727783e-05
b2280	2.8893158465727783e-05
b2282	2.8893158465727783e-05
