Metabolite	Concentration	Type	Unit	Comment
M_g3ps	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_gam	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_gal	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_damp	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_g3pi	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_dopa	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_galctn__D	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_nmn	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_g3pc	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_agm	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_g3pe	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_malthx	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_g3pg	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_pppn	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_tym	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_hom__L	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_mmet	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_pydam	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_udpg	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_alaala	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_cit	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_dump	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_tre	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_fusa	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_but	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_dca	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_mnl	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_all__D	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_maltttr	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_fru	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_eca4colipa	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_5mtr	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_acac	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_man6p	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_acmum	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_dgsn	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_malttr	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_sbt__D	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_gal1p	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_sucr	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_crn	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_adn	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_metsox_R__L	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_ump	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_23cump	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_fe3dcit	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_fald	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_hacolipa	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_ascb__L	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_pydx	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_alltn	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_cbi	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_ppal	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_tyrp	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_galt	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_gthrd	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_pnto__R	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_arab__L	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_gam6p	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_gsn	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
